,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_response_rate,host_acceptance_rate
0,4.7,4.72,4.62,4.76,4.79,4.86,4.41,51.0,17.0
1,4.45,4.58,4.49,4.78,4.8,4.71,4.64,0.0,64.0
2,4.52,4.22,4.09,4.91,4.91,4.47,4.52,100.0,100.0
3,5.0,5.0,5.0,5.0,5.0,4.5,5.0,,25.0
4,4.22,4.21,3.73,4.66,4.42,4.87,4.36,100.0,100.0
5,4.91,4.83,4.82,4.97,4.95,4.94,4.92,,
6,4.7,4.7,4.61,4.79,4.82,4.87,4.73,100.0,100.0
7,4.56,4.6,4.86,4.84,4.8,4.66,4.57,100.0,100.0
8,,,,,,,,100.0,
9,4.88,4.82,4.96,4.96,4.95,4.84,4.84,100.0,100.0
10,4.86,5.0,4.86,5.0,5.0,5.0,5.0,100.0,0.0
11,4.88,4.89,4.9,4.96,4.92,4.93,4.79,100.0,99.0
12,,,,,,,,0.0,29.0
13,4.86,4.6,4.4,4.8,4.6,5.0,4.8,100.0,71.0
14,4.77,4.85,4.75,4.89,4.87,4.62,4.75,100.0,98.0
15,4.52,4.68,4.16,4.97,5.0,4.95,4.58,0.0,
16,4.71,4.87,4.46,4.9,4.85,4.87,4.36,86.0,56.0
17,4.89,4.91,4.73,4.91,4.84,4.84,4.9,0.0,0.0
18,4.66,4.48,4.6,4.72,4.85,4.34,4.63,100.0,84.0
19,4.74,4.76,4.61,4.86,4.78,4.88,4.76,100.0,100.0
20,,,,,,,,,
21,4.39,4.57,4.03,4.8,4.85,4.7,4.55,100.0,68.0
22,4.81,4.82,4.69,4.97,4.9,4.51,4.7,,
23,4.9,4.91,4.9,4.9,4.9,4.88,4.84,100.0,93.0
24,4.49,4.59,4.39,4.7,4.52,4.02,4.35,93.0,80.0
25,4.14,4.33,4.68,4.38,4.26,3.59,4.2,90.0,79.0
26,4.68,4.75,4.45,4.9,4.86,4.5,4.72,100.0,93.0
27,4.76,4.83,4.59,4.71,4.62,4.78,4.76,96.0,79.0
28,4.82,4.88,4.91,4.91,4.93,4.8,4.78,100.0,0.0
29,4.55,4.37,3.91,4.85,4.77,4.15,4.45,100.0,100.0
30,4.63,4.77,4.74,4.81,4.79,4.88,4.68,96.0,98.0
31,4.59,4.68,4.5,5.0,4.82,4.71,4.43,100.0,100.0
32,4.85,4.79,4.79,4.83,4.83,4.83,4.64,,
33,5.0,4.8,4.8,5.0,5.0,4.8,4.8,33.0,9.0
34,4.68,4.61,4.45,4.55,4.53,4.7,4.59,83.0,46.0
35,4.93,4.95,4.93,4.98,4.98,4.85,4.89,100.0,29.0
36,4.6,4.64,4.32,4.81,4.77,4.69,4.58,90.0,0.0
37,4.78,4.82,4.75,4.79,4.76,4.72,4.69,94.0,100.0
38,4.74,4.88,4.76,4.92,4.92,4.72,4.48,100.0,72.0
39,4.66,4.75,4.38,4.76,4.87,4.9,4.63,94.0,72.0
40,4.83,4.9,4.73,4.96,4.93,4.41,4.76,100.0,94.0
41,4.8,4.74,4.9,4.98,4.98,4.56,4.55,100.0,33.0
