,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_response_rate,host_acceptance_rate,transformed_review_scores_rating,transformed_review_scores_accuracy,transformed_review_scores_cleanliness,transformed_review_scores_checkin,transformed_review_scores_communication,transformed_review_scores_location,transformed_review_scores_value
0,4.7,4.72,4.62,4.76,4.79,4.86,4.41,51.0,17.0,-1.2006450142332619,-1.2694006096483903,-0.9649559038554364,-1.4229583454914811,-1.5558971455060706,-1.958995388603971,-0.5259392615760391
1,4.45,4.58,4.49,4.78,4.8,4.71,4.64,0.0,64.0,-0.5960204698292229,-0.8651224452997558,-0.6713856887784331,-1.5095925774643855,-1.6044503709230604,-1.2344320118106444,-1.0188773206492552
2,4.52,4.22,4.09,4.91,4.91,4.47,4.52,100.0,100.0,-0.731888008876375,-0.24718012914245077,-0.09321238172217858,-2.3968957724652884,-2.3968957724652884,-0.6329932577401978,-0.731888008876375
3,5.0,5.0,5.0,5.0,5.0,4.5,5.0,,25.0,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,-0.6911491778972723,-6.907755278982137
4,4.22,4.21,3.73,4.66,4.42,4.87,4.36,100.0,100.0,-0.24718012914245077,-0.23445731121448313,0.23980399220731693,-1.0758728016986208,-0.5430045221302257,-2.0325579557809865,-0.4447258220614675
5,4.91,4.83,4.82,4.97,4.95,4.94,4.92,,,-2.3968957724652884,-1.7660917224794777,-1.709258247716313,-3.4737680744969825,-2.9759296462578146,-2.796881414808832,-2.5133061243096972
6,4.7,4.7,4.61,4.79,4.82,4.87,4.73,100.0,100.0,-1.2006450142332619,-1.2006450142332619,-0.9390477189967721,-1.5558971455060706,-1.709258247716313,-2.0325579557809865,-1.3056364581024378
7,4.56,4.6,4.86,4.84,4.8,4.66,4.57,100.0,100.0,-0.8187104035352901,-0.9137938516755669,-1.958995388603971,-1.8263509139976732,-1.6044503709230604,-1.0758728016986208,-0.84164718887839
8,,,,,,,,100.0,,,,,,,,
9,4.88,4.82,4.96,4.96,4.95,4.84,4.84,100.0,100.0,-2.111964733385395,-1.709258247716313,-3.1941832122778284,-3.1941832122778284,-2.9759296462578146,-1.8263509139976732,-1.8263509139976732
10,4.86,5.0,4.86,5.0,5.0,5.0,5.0,100.0,0.0,-1.958995388603971,-6.907755278982137,-1.958995388603971,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137
11,4.88,4.89,4.9,4.96,4.92,4.93,4.79,100.0,99.0,-2.111964733385395,-2.1982250776698002,-2.292634762140881,-3.1941832122778284,-2.5133061243096972,-2.645075401940818,-1.5558971455060706
12,,,,,,,,0.0,29.0,,,,,,,
13,4.86,4.6,4.4,4.8,4.6,5.0,4.8,100.0,71.0,-1.958995388603971,-0.9137938516755669,-0.50916034444693,-1.6044503709230604,-0.9137938516755669,-6.907755278982137,-1.6044503709230604
14,4.77,4.85,4.75,4.89,4.87,4.62,4.75,100.0,98.0,-1.4653375684603416,-1.8904754421672103,-1.3823023398503531,-2.1982250776698002,-2.0325579557809865,-0.9649559038554364,-1.3823023398503531
